Food Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),Sodium (mg),Vitamin A (mcg RAE),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B5 (Pantothenic Acid) (mg),Vitamin B6 (Pyridoxine) (mg),Vitamin B7 (Biotin) (mcg),Vitamin B9 (Folate) (mcg),Vitamin B12 (Cobalamin) (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Choline (mg),Lutein + Zeaxanthin (mcg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (mcg),Zinc (mg),Alanine (g),Arginine (g),Aspartic Acid (g),Cystine (g),Glutamic Acid (g),Glycine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Arsenic (ppm/ug),Cadmium (ppm/ug),Mercury (ppm/ug),Lead (ppm/ug)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Chicken Thigh (Grilled) Total,2.56,0.241,0.168,0,0,0.75,0.39,0.0012,0.0022,0.064,0.0158,0.0044,0.04,0.17,0.004,0,0.002,0.011,0.15,0.75,0,0.06,0.0008,0.006,0.28,0.0002,2.2,3.4,0.28,0.022,0.0144,0.0156,0.0216,0.0024,0.0362,0.012,0.0072,0.0108,0.0192,0.0204,0.006,0.0096,0.0108,0.0096,0.0096,0.0024,0.0084,0.012,0.0001,0.0001,0,0.0002
Chicken Thigh (Grilled) % Daily Value (RDI),0.128%,0.482%,0.2154%,0%,0%,0.0326%,0.0434%,0.1%,0.1692%,0.4%,0.316%,0.2588%,0.1334%,0.0424%,0.1666%,0%,0.01%,0.0734%,0.125%,0.1364%,0%,0.0076%,,,,,,0.1134%,0.509%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Miyazaki Farmed Salmon (Grilled) Total,2.06,0.22,0.12,0,0,0.6,0.4,0.002,0.0015,0.08,0.015,0.009,0.05,0.3,0.04,0,0.11,0.015,0.005,0.9,0,0.15,0.0005,0.008,0.3,0.0002,2.5,3.8,0.4,0.006,0.0132,0.0132,0.022,0.0022,0.033,0.011,0.0055,0.0099,0.0176,0.0198,0.0066,0.0088,0.0077,0.0088,0.0099,0.0022,0.0066,0.011,0.005,0.0001,0.0001,0.0001
Miyazaki Farmed Salmon (Grilled) % Daily Value (RDI),0.1029%,0.4398%,0.1538%,0%,0%,0.0262%,0.0445%,0.1666%,0.1154%,0.5005%,0.3%,0.5293%,0.1667%,0.075%,1.6662%,0%,0.55%,0.1%,0.0042%,0.1638%,,0.0187%,0.0555%,0.0445%,0.0714%,0.0087%,0.2%,0.1266%,0.7275%,0.0546%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Broccoli (Raw) Total,0.37,0.043,0.005,0.052,0.044,0.13,0.67,0.0014,0.002,0.009,0.0125,0.0022,0.03,2.1,0,1.2,0,0.024,1.6,0.35,14,0.38,0.0005,0.01,0.18,0.0017,0.81,3.6,0.025,0.006,0.0017,0.0017,0.0053,0.0004,0.0042,0.0014,0.0007,0.0014,0.0021,0.0017,0.0004,0.0014,0.0014,0.0014,0.0014,0.0004,0.0007,0.0017,0.0001,0.0002,0,0.0002
Broccoli (Raw) % Daily Value (RDI),0.0185%,0.086%,0.0064%,0.0189%,0.1574%,0.0057%,0.0745%,0.1166%,0.1538%,0.0563%,0.25%,0.1294%,0.1%,0.5251%,0%,1.3348%,0%,0.16%,1.336%,0.0637%,,0.0475%,0.0555%,0.0556%,0.0428%,0.0739%,0.0648%,0.12%,0.0455%,0.0546%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Carrots (Raw) Total,0.37,0.006,0.002,0.087,0.028,0.24,7.2,0.0007,0.0006,0.008,0.0025,0.001,0.005,0.21,0,0.06,0,0.005,0.17,0.088,2.56,0.28,0.0004,0.002,0.1,0.0015,0.25,2.8,0.001,0.002,0.0004,0.0004,0.001,0.0001,0.0008,0.0003,0.0001,0.0003,0.0004,0.0004,0.0001,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0004,0.0001,0.0003,0,0.0002
Carrots (Raw) % Daily Value (RDI),0.0185%,0.012%,0.0026%,0.0316%,0.1001%,0.0105%,0.801%,0.0583%,0.0461%,0.05%,0.05%,0.0588%,0.0167%,0.0525%,0%,0.0667%,0%,0.0333%,0.142%,0.016%,,0.035%,0.0444%,0.0111%,0.0238%,0.0652%,0.02%,0.0933%,0.0018%,0.0182%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Kabocha (Raw) Total,0.91,0.019,0.003,0.213,0.035,0.01,3.3,0.0007,0.0009,0.008,0.0042,0.0018,0.015,0.42,0,0.43,0,0.018,0.33,0.11,15,0.15,0.001,0.005,0.15,0.0014,0.43,4,0.002,0.003,0.0009,0.0009,0.0027,0.0002,0.0022,0.0007,0.0004,0.0007,0.0011,0.0009,0.0002,0.0007,0.0007,0.0007,0.0007,0.0002,0.0004,0.0009,0.0001,0.0001,0,0.0001
Kabocha (Raw) % Daily Value (RDI),0.0455%,0.038%,0.0038%,0.0774%,0.1252%,0.0004%,0.3671%,0.0583%,0.0692%,0.05%,0.084%,0.1059%,0.05%,0.105%,0%,0.4783%,0%,0.12%,0.2756%,0.02%,,0.0188%,0.1111%,0.0278%,0.0357%,0.0609%,0.0344%,0.1333%,0.0036%,0.0273%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Potato (Raw) Total,0.59,0.016,0.001,0.173,0.013,0.01,0,0.0009,0.0003,0.012,0.0044,0.0018,0.002,0.15,0,0.35,0,0.001,0,0.121,0.13,0.04,0.0009,0.004,0.2,0.0013,0.4,4.1,0.003,0.002,0.0009,0.0009,0.0027,0.0002,0.0022,0.0007,0.0004,0.0007,0.0011,0.0009,0.0002,0.0007,0.0007,0.0007,0.0007,0.0002,0.0004,0.0009,0.0001,0.0003,0,0.0002
Potato (Raw) % Daily Value (RDI),0.0295%,0.032%,0.0013%,0.0629%,0.0465%,0.0004%,0%,0.075%,0.0231%,0.0751%,0.088%,0.1059%,0.0067%,0.0375%,0%,0.3893%,0%,0.0067%,0%,0.022%,,0.005%,0.1%,0.0222%,0.0476%,0.0565%,0.032%,0.1367%,0.0055%,0.0182%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Fried Eggs (Sunny Side Up) Total,2.05,0.148,0.176,0.003,0,1.4,2,0.0007,0.0041,0.001,0.015,0.0011,0.25,0.58,0.012,0,0.039,0.021,0.19,2.5,3.53,0.5,0.0007,0.021,0.12,0.0003,2,1.5,0.3,0.013,0.0082,0.0088,0.0143,0.0033,0.0183,0.0048,0.0034,0.0076,0.0121,0.0103,0.0044,0.0075,0.0057,0.0106,0.0066,0.0023,0.0058,0.0094,0.0001,0.0001,0,0.0002
